muestra,t,M 5A,DUT 30A,
2,555,76.844,121.036,
3,1078,76.924,120.473,
4,1602,77.789,121.383,
5,2125,80.084,117.425,
6,2647,75.901,122.048,
7,3170,77.124,117.700,
8,3694,75.961,126.220,
9,4216,77.395,120.634,
10,4739,75.422,119.447,
11,5263,80.296,117.412,
12,5787,75.767,122.551,
13,6310,74.563,121.009,
14,6832,76.909,117.149,
15,7357,80.366,119.429,
16,7880,77.512,118.686,
17,8403,78.198,118.057,
18,8927,76.876,120.452,
19,9451,79.906,117.783,
20,9973,78.590,119.610,
21,10500,78.307,116.916,
22,11023,79.219,118.398,
23,11547,82.336,119.907,
muestra,t,M 5A,DUT 30A,
2,525,77.328,118.932,
3,1049,81.598,115.946,
4,1573,74.214,122.313,
5,2096,78.997,117.453,
6,2618,80.806,118.386,
7,3142,76.924,119.726,
8,3666,80.193,120.634,
9,4189,80.464,121.143,
10,4712,77.558,122.709,
11,5237,77.176,118.398,
12,5760,78.539,118.959,
13,6282,76.862,120.822,
14,6806,78.889,122.156,
15,7330,78.793,120.015,
16,7853,76.816,121.089,
17,8376,79.233,122.392,
18,8903,78.948,122.288,
19,9427,79.224,122.207,
20,9949,79.764,117.453,
21,10472,79.132,114.946,
22,10995,76.826,119.393,
23,11519,76.927,117.728,
24,12042,70.760,116.317,
muestra,t,M 5A,DUT 30A,
2,526,79.330,112.755,
3,1051,78.413,115.359,
4,1574,81.462,118.604,
5,2097,77.965,119.122,
6,2622,79.180,121.599,
7,3144,78.280,119.231,
8,3667,79.343,118.904,
9,4191,79.840,117.714,
10,4715,76.855,118.085,
11,5238,74.547,117.177,
12,5760,79.411,119.231,
13,6285,78.054,119.700,
14,6811,80.360,118.331,
15,7334,76.431,119.040,
16,7857,75.615,121.089,
17,8382,80.388,115.219,
18,8905,77.827,123.051,
19,9428,83.432,121.196,
20,9952,81.001,120.720,
21,10475,75.945,117.094,
22,10998,75.446,118.577,
23,11521,78.142,120.822,
24,12044,74.924,119.907,
muestra,t,M 5A,DUT 30A,
2,526,83.648,114.296,
3,1049,78.832,118.768,
4,1571,75.825,121.143,
5,2095,77.706,120.560,
6,2619,78.281,117.618,
7,3142,76.405,117.673,
8,3665,77.230,119.961,
9,4188,74.715,121.201,
10,4715,80.276,119.122,
11,5238,77.119,118.277,
12,5762,80.794,117.440,
13,6285,78.946,118.085,
14,6808,76.338,120.123,
15,7331,77.508,120.634,
16,7855,79.038,119.348,
17,8379,80.893,119.122,
18,8902,77.868,119.447,
19,9425,79.564,118.331,
20,9948,74.313,116.667,
21,10472,78.508,116.456,
22,10995,78.195,115.423,
23,11518,78.174,121.915,
24,12043,80.281,118.534,
muestra,t,M 5A,DUT 30A,
2,525,77.081,115.395,
3,1048,78.148,115.676,
4,1572,73.300,124.122,
5,2095,76.974,120.285,
6,2620,75.006,119.745,
7,3144,81.679,115.778,
8,3668,80.202,119.556,
9,4191,77.298,116.706,
10,4714,80.462,118.112,
11,5238,80.386,121.014,
12,5761,76.914,119.610,
13,6284,77.122,119.853,
14,6807,76.945,117.425,
15,7331,77.433,118.316,
16,7855,79.904,117.948,
17,8378,75.286,119.122,
18,8901,78.405,119.745,
19,9426,77.151,121.041,
20,9948,78.437,119.095,
21,10471,77.938,118.823,
22,10995,79.479,118.289,
23,11519,78.500,118.714,
24,12042,76.942,115.704,
muestra,t,M 5A,DUT 30A,
2,529,79.973,114.155,
3,1051,77.122,116.956,
4,1575,78.927,117.714,
5,2099,82.747,117.342,
6,2621,78.013,119.095,
7,3145,82.015,119.673,
8,3669,76.771,119.565,
9,4193,77.019,115.171,
10,4716,74.835,116.234,
11,5238,75.866,120.982,
12,5763,77.075,118.942,
13,6286,74.987,118.304,
14,6809,80.677,117.480,
15,7333,79.069,118.152,
16,7856,74.816,120.768,
17,8379,77.765,124.853,
18,8902,75.359,121.169,
19,9426,83.235,120.050,
20,9950,76.832,119.799,
21,10472,76.221,117.618,
22,10997,76.229,114.069,
23,11521,80.995,116.418,
24,12045,76.057,118.167,
muestra,t,M 5A,DUT 30A,
2,524,79.931,114.692,
3,1048,80.001,115.415,
4,1572,78.410,116.900,
5,2095,74.867,117.920,
6,2618,77.898,116.001,
7,3143,78.770,116.667,
8,3666,77.344,114.325,
9,4188,78.517,118.495,
10,4711,80.889,118.003,
11,5236,77.004,119.753,
12,5759,77.923,119.556,
13,6281,74.532,121.649,
14,6806,76.492,120.533,
15,7329,73.277,122.709,
16,7852,77.461,119.610,
17,8378,76.131,120.875,
18,8903,78.426,121.759,
19,9426,76.366,120.285,
20,9948,79.609,117.342,
21,10472,76.504,118.969,
22,10996,75.147,119.339,
23,11519,75.134,121.995,
24,12042,75.011,117.508,
muestra,t,M 5A,DUT 30A,
2,527,75.126,116.612,
3,1049,77.748,116.567,
4,1573,75.243,120.961,
5,2097,77.094,116.971,
6,2621,77.675,120.848,
7,3147,78.308,116.456,
8,3670,79.567,125.731,
9,4193,77.182,118.632,
10,4717,79.296,117.480,
11,5240,73.039,121.196,
12,5762,77.601,118.331,
13,6289,74.252,119.880,
14,6812,76.164,119.312,
15,7335,77.190,118.468,
16,7859,77.261,118.316,
17,8382,73.312,120.607,
18,8905,77.414,123.183,
19,9428,73.758,124.047,
20,9952,76.102,116.557,
21,10476,75.334,117.700,
22,10998,74.211,117.714,
23,11521,73.702,117.287,
muestra,t,M 5A,DUT 30A,
2,525,75.178,116.900,
3,1049,78.953,116.307,
4,1573,77.137,120.848,
5,2096,78.083,123.051,
6,2619,76.116,123.602,
7,3142,75.560,119.726,
8,3667,77.004,121.782,
9,4189,78.318,118.686,
10,4716,77.427,122.209,
11,5240,75.631,121.303,
