muestra,t,M 5A,DUT 30A,
2,556,78.775,120.768,
3,1080,79.315,121.838,
4,1603,79.936,123.262,
5,2126,80.334,124.255,
6,2648,78.810,122.999,
7,3172,81.285,122.235,
8,3696,79.580,125.319,
9,4218,78.083,123.786,
10,4741,77.766,123.681,
11,5265,79.161,122.499,
12,5789,80.399,125.319,
13,6312,80.791,119.637,
14,6834,80.244,127.216,
15,7358,80.732,124.304,
16,7882,79.014,125.009,
17,8405,79.115,123.681,
18,8928,79.751,121.729,
19,9453,81.498,122.630,
20,9975,78.221,120.875,
21,10501,80.572,121.942,
22,11025,80.363,125.210,
23,11549,78.114,123.733,
24,12071,80.334,124.568,
muestra,t,M 5A,DUT 30A,
2,526,78.395,121.009,
3,1049,81.334,122.946,
4,1572,80.244,122.603,
5,2096,79.982,126.849,
6,2620,79.322,124.568,
7,3143,79.682,122.683,
8,3665,76.927,123.864,
9,4189,79.333,124.356,
10,4713,82.579,123.130,
11,5236,79.217,126.014,
12,5759,79.054,122.577,
13,6284,78.139,124.563,
14,6807,80.559,123.969,
15,7330,80.752,125.422,
16,7854,80.151,123.653,
17,8380,81.250,124.412,
18,8903,78.619,124.957,
19,9426,79.865,123.104,
20,9951,77.622,125.055,
21,10474,79.938,124.334,
22,10997,79.789,123.262,
23,11521,78.112,125.622,
24,12045,79.489,121.676,
muestra,t,M 5A,DUT 30A,
2,527,81.744,123.130,
3,1051,79.897,123.104,
4,1573,78.412,123.786,
5,2096,82.196,123.340,
6,2619,78.057,124.672,
7,3143,81.298,121.383,
8,3666,78.382,124.620,
9,4188,78.821,121.356,
10,4713,79.844,122.235,
11,5236,79.230,123.733,
12,5759,79.361,124.594,
13,6285,78.394,122.762,
14,6809,78.783,123.419,
15,7332,78.218,125.396,
16,7855,78.906,125.112,
17,8379,77.109,124.822,
18,8903,79.548,127.190,
19,9425,79.870,125.886,
20,9948,79.917,125.680,
21,10473,78.282,125.467,
22,10996,78.576,122.788,
23,11519,80.893,120.204,
24,12043,79.010,121.706,
muestra,t,M 5A,DUT 30A,
2,525,78.751,120.123,
3,1049,79.189,119.321,
4,1572,81.145,124.879,
5,2095,78.686,123.864,
6,2618,79.496,124.073,
7,3142,80.699,124.693,
8,3666,77.914,121.516,
9,4191,80.543,123.655,
10,4714,80.405,122.603,
11,5239,78.761,125.955,
12,5762,80.292,125.345,
13,6285,79.173,125.525,
14,6809,81.703,126.441,
15,7333,78.443,124.281,
16,7856,79.089,127.012,
17,8379,80.230,128.027,
18,8903,78.536,123.365,
19,9427,80.599,122.154,
20,9950,79.179,123.104,
21,10473,79.830,120.042,
22,10998,79.756,122.920,
23,11521,79.831,124.464,
24,12044,80.982,121.888,
muestra,t,M 5A,DUT 30A,
2,525,80.479,121.756,
3,1049,82.901,124.278,
4,1574,81.214,123.914,
5,2099,81.490,124.047,
6,2622,78.387,121.782,
7,3147,82.067,124.615,
8,3670,82.644,126.348,
9,4193,81.755,121.809,
10,4717,79.197,126.390,
11,5241,79.676,123.812,
12,5764,79.343,124.151,
13,6287,78.461,121.676,
14,6811,81.266,125.596,
15,7335,82.299,121.702,
16,7858,79.183,123.681,
17,8381,79.128,122.814,
18,8906,80.205,121.626,
19,9429,80.241,122.445,
20,9951,80.322,126.578,
21,10476,80.869,123.444,
22,10999,80.110,123.078,
23,11522,78.559,124.827,
24,12046,82.126,123.496,
muestra,t,M 5A,DUT 30A,
2,527,79.575,121.652,
3,1050,78.159,122.048,
4,1574,78.183,123.783,
5,2098,81.217,123.601,
6,2622,80.781,123.235,
7,3145,79.140,122.313,
8,3672,78.186,124.697,
9,4197,78.342,125.184,
10,4720,79.504,124.620,
11,5242,79.698,125.138,
12,5767,80.060,126.747,
13,6290,80.373,122.920,
14,6813,81.753,123.576,
15,7336,78.312,124.177,
16,7859,80.610,123.890,
17,8383,78.955,128.582,
18,8906,81.258,125.912,
19,9429,81.187,123.707,
20,9953,77.334,121.918,
21,10479,80.074,121.223,
22,11002,83.146,120.042,
23,11527,79.409,122.288,
