muestra,t,M 5A,DUT 30A,
2,555,81.346,123.812,
3,1078,80.328,123.890,
4,1602,76.149,125.210,
5,2125,80.122,127.318,
6,2649,79.810,125.955,
7,3173,83.830,124.977,
8,3697,76.381,126.040,
9,4220,78.249,125.628,
10,4742,80.939,126.885,
11,5266,79.155,129.120,
12,5790,81.570,131.051,
13,6313,79.444,128.053,
14,6836,76.339,127.343,
15,7359,80.235,126.143,
16,7883,76.304,128.784,
17,8406,77.349,128.482,
18,8928,76.866,125.396,
19,9454,85.920,123.757,
20,9976,79.011,124.177,
21,10502,79.102,122.392,
22,11025,77.946,123.235,
23,11549,77.177,127.318,
24,12072,80.627,125.034,
muestra,t,M 5A,DUT 30A,
2,526,82.256,124.568,
3,1049,79.289,125.731,
4,1571,76.822,126.297,
5,2096,80.524,125.493,
6,2619,76.985,124.983,
7,3142,79.893,125.860,
8,3665,81.767,127.216,
9,4188,77.921,128.078,
10,4712,82.111,127.165,
11,5234,77.655,124.983,
12,5757,78.883,126.961,
13,6282,77.450,129.419,
14,6805,80.012,129.735,
15,7328,77.855,123.314,
16,7852,78.839,127.762,
17,8379,75.964,125.680,
18,8901,83.810,125.034,
19,9424,76.669,126.425,
20,9948,82.533,122.261,
21,10472,77.167,124.438,
22,10995,81.754,129.436,
23,11518,84.965,126.885,
24,12043,79.802,123.418,
muestra,t,M 5A,DUT 30A,
2,525,80.665,120.955,
3,1049,83.527,122.657,
4,1572,77.660,124.151,
5,2095,80.149,128.330,
6,2619,79.751,125.442,
7,3143,81.431,128.255,
8,3665,76.864,123.786,
9,4188,81.436,127.850,
10,4712,81.784,124.822,
11,5235,80.650,127.354,
12,5758,79.775,125.086,
13,6283,75.021,126.399,
14,6807,82.633,120.934,
15,7330,78.364,126.408,
16,7853,84.002,125.937,
17,8376,79.067,128.431,
18,8901,81.296,125.750,
19,9424,81.177,126.117,
20,9946,83.383,123.890,
21,10471,81.315,124.719,
22,10995,83.550,121.649,
23,11518,80.728,123.524,
24,12040,80.966,122.154,
muestra,t,M 5A,DUT 30A,
2,527,76.492,123.262,
3,1049,78.537,123.602,
4,1572,78.689,125.448,
5,2096,83.224,124.226,
6,2619,82.521,123.969,
7,3142,83.154,125.190,
8,3665,82.443,127.546,
9,4192,77.677,122.683,
10,4715,78.924,126.220,
11,5238,82.614,122.577,
12,5762,77.962,130.562,
13,6286,74.497,126.936,
14,6809,82.820,125.086,
15,7332,79.953,129.960,
16,7856,82.101,127.129,
17,8380,78.720,126.476,
18,8902,82.516,124.438,
19,9425,81.152,125.060,
20,9949,82.910,123.705,
21,10473,80.134,124.516,
22,10996,72.044,124.229,
23,11518,82.622,123.602,
24,12044,82.509,124.589,
muestra,t,M 5A,DUT 30A,
2,526,78.988,126.824,
3,1050,81.291,122.339,
4,1572,80.279,125.164,
5,2099,80.079,124.693,
6,2622,80.400,124.827,
7,3145,78.556,124.099,
8,3668,80.313,123.235,
9,4191,79.624,126.655,
10,4715,80.766,124.775,
11,5237,81.117,124.594,
12,5760,81.049,125.603,
13,6284,79.391,128.141,
14,6808,80.588,125.060,
15,7331,79.956,124.957,
16,7854,78.547,128.027,
17,8378,80.827,125.034,
18,8901,79.290,125.164,
19,9424,81.331,124.905,
20,9948,80.698,125.416,
21,10472,79.641,123.602,
22,10995,79.942,123.183,
23,11518,80.499,124.308,
24,12042,79.805,124.252,
muestra,t,M 5A,DUT 30A,
2,526,80.928,123.235,
3,1050,78.625,123.498,
4,1572,80.341,125.164,
5,2095,80.743,125.783,
6,2619,77.939,124.330,
7,3143,80.231,125.086,
8,3666,78.942,124.438,
9,4189,80.547,128.255,
10,4714,79.163,126.135,
11,5237,80.619,125.138,
12,5760,80.001,124.957,
13,6284,80.486,126.211,
14,6808,80.763,125.396,
15,7331,80.915,124.386,
16,7854,80.791,124.542,
17,8377,82.009,125.801,
18,8901,79.563,128.230,
19,9424,80.974,124.646,
20,9947,79.949,124.775,
21,10474,78.254,127.585,
22,10997,79.556,123.025,
23,11520,80.117,122.101,
24,12044,79.102,124.018,
muestra,t,M 5A,DUT 30A,
2,525,80.293,124.412,
3,1048,80.027,126.373,
4,1572,79.623,127.459,
5,2096,80.734,125.396,
6,2618,80.606,130.606,
7,3141,81.468,125.731,
8,3665,78.790,126.390,
9,4188,81.373,125.267,
10,4711,79.634,127.470,
11,5233,78.308,126.220,
12,5757,79.033,125.827,
13,6281,79.607,123.942,
14,6804,80.324,127.850,
15,7327,77.175,129.235,
16,7855,79.751,127.383,
17,8377,80.227,125.293,
18,8900,80.029,124.801,
19,9423,79.477,127.190,
20,9947,80.194,121.995,
21,10470,78.251,125.345,
22,10992,80.124,123.812,
23,11516,79.454,125.442,
24,12040,79.104,126.578,
muestra,t,M 5A,DUT 30A,
2,525,80.228,124.827,
3,1049,80.456,122.762,
4,1573,80.023,126.168,
5,2096,79.514,126.680,
6,2618,81.462,124.594,
7,3141,79.772,124.047,
8,3665,78.992,125.525,
9,4187,79.979,126.168,
10,4710,79.875,126.066,
11,5235,80.330,128.367,
12,5760,81.144,128.406,
13,6283,80.010,126.834,
14,6807,78.815,124.278,
15,7331,78.320,125.371,
16,7854,79.324,122.946,
17,8377,79.214,125.293,
18,8901,80.772,128.568,
19,9424,78.780,127.685,
20,9947,78.556,126.476,
21,10470,79.336,123.130,
22,10994,78.083,124.334,
23,11517,78.882,124.698,
24,12040,79.953,121.062,
muestra,t,M 5A,DUT 30A,
2,527,78.077,122.736,
3,1050,80.474,124.412,
4,1573,80.139,124.905,
5,2096,77.932,129.160,
6,2620,80.877,124.848,
7,3144,79.746,127.241,
8,3670,79.451,127.825,
9,4193,79.423,125.706,
10,4718,81.385,123.051,
11,5241,81.217,125.989,
12,5763,79.948,127.380,
13,6287,82.356,123.208,
14,6811,80.297,124.879,
15,7334,79.146,128.305,
16,7857,79.892,126.194,
17,8381,80.538,128.015,
18,8904,78.476,127.074,
19,9427,80.214,127.114,
20,9950,78.022,126.220,
21,10474,80.127,125.210,
22,10998,80.026,123.864,
23,11521,78.603,124.672,
24,12044,79.619,122.154,
muestra,t,M 5A,DUT 30A,
2,525,80.980,124.177,
3,1048,77.871,123.812,
4,1579,78.959,125.937,
5,2101,79.153,125.937,
6,2624,81.352,125.757,
7,3148,76.243,123.992,
8,3672,75.883,126.859,
9,4195,80.063,127.876,
10,4717,79.122,123.524,
11,5243,79.622,123.339,
12,5765,82.731,122.893,
13,6288,79.745,125.860,
14,6813,81.282,130.190,
15,7336,83.392,124.983,
16,7859,81.149,125.112,
17,8382,81.349,125.551,
18,8907,83.779,126.032,
19,9430,77.139,126.271,
20,9953,79.758,127.038,
21,10476,84.520,119.068,
22,11000,77.568,121.067,
23,11524,78.848,121.995,
24,12049,79.154,123.995,
muestra,t,M 5A,DUT 30A,
2,525,81.270,125.783,
3,1049,84.214,124.926,
4,1573,77.928,126.399,
5,2095,74.821,125.112,
6,2619,75.672,123.339,
7,3143,78.214,127.484,
8,3667,82.962,123.681,
9,4189,85.458,120.634,
10,4712,83.810,125.190,
11,5236,91.017,124.174,
12,5760,88.605,124.412,
13,6283,85.072,123.969,
14,6806,88.440,124.672,
15,7331,92.222,124.408,
16,7854,87.878,125.396,
17,8377,83.338,124.464,
18,8901,80.641,123.679,
19,9425,84.794,127.216,
20,9950,80.795,122.735,
21,10473,80.008,122.788,
22,10998,78.045,123.810,
23,11521,80.591,125.474,
24,12044,73.226,123.602,
muestra,t,M 5A,DUT 30A,
2,527,86.829,120.800,
3,1050,83.184,123.733,
4,1572,83.189,127.977,
5,2096,85.139,125.853,
6,2620,84.727,124.905,
7,3144,83.136,124.096,
8,3668,87.083,124.512,
9,4192,76.498,125.003,
10,4716,79.523,125.241,
11,5238,85.999,122.498,
12,5761,81.051,126.425,
13,6286,79.246,125.390,
14,6809,80.625,124.438,
15,7332,79.794,124.073,
16,7858,80.890,123.940,
17,8382,80.713,126.014,
18,8905,76.592,127.241,
19,9428,80.953,124.490,
20,9952,79.592,129.169,
21,10476,78.254,124.983,
22,10998,82.511,122.286,
23,11521,87.303,121.410,
24,12046,82.137,124.486,
muestra,t,M 5A,DUT 30A,
2,527,85.474,123.339,
3,1050,78.728,122.814,
4,1573,77.611,124.620,
5,2096,80.381,127.774,
6,2621,90.192,121.413,
7,3144,76.844,126.859,
8,3666,82.101,122.972,
9,4190,87.685,122.472,
10,4714,82.498,126.859,
11,5240,78.169,126.987,
12,5762,86.058,125.164,
13,6286,80.900,124.563,
14,6810,76.439,125.757,
15,7333,81.206,126.143,
16,7856,83.274,126.117,
17,8381,77.328,124.460,
18,8904,80.707,125.371,
19,9426,88.526,122.445,
20,9951,77.581,123.235,
21,10474,75.756,124.334,
22,10997,73.605,124.464,
23,11520,83.471,125.474,
24,12044,81.401,123.992,
muestra,t,M 5A,DUT 30A,
2,525,85.376,124.931,
3,1049,77.291,122.893,
4,1571,71.037,125.834,
5,2094,77.935,122.893,
6,2619,78.522,127.002,
7,3144,80.639,125.164,
8,3666,81.423,124.464,
9,4190,93.216,126.314,
10,4714,84.793,126.936,
11,5237,84.878,122.603,
12,5759,85.641,123.995,
13,6283,83.653,126.798,
14,6807,80.747,126.425,
15,7330,79.585,132.256,
16,7853,83.165,124.412,
17,8376,82.095,122.841,
18,8900,85.010,123.235,
19,9423,84.564,123.602,
20,9945,77.684,126.961,
21,10470,77.481,124.563,
22,10993,77.392,127.495,
23,11516,76.711,128.230,
muestra,t,M 5A,DUT 30A,
2,525,79.850,124.775,
3,1050,78.062,122.999,
4,1575,76.793,125.034,
5,2097,81.798,124.931,
6,2621,83.577,125.596,
7,3145,81.896,130.258,
8,3668,79.467,125.216,
9,4190,78.828,124.879,
10,4714,83.133,129.619,
11,5238,83.131,123.760,
12,5761,78.913,127.114,
13,6284,77.569,124.255,
14,6809,85.682,122.076,
15,7331,77.942,124.073,
16,7854,75.429,125.963,
17,8377,76.515,127.825,
18,8902,88.207,122.946,
19,9425,88.633,124.801,
20,9947,81.175,123.051,
21,10471,83.629,122.604,
22,10995,79.000,124.255,
23,11518,82.130,121.835,
24,12043,84.088,123.393,
muestra,t,M 5A,DUT 30A,
2,525,77.585,125.112,
3,1049,79.436,124.486,
4,1573,79.050,124.330,
5,2097,80.723,128.759,
6,2619,77.504,125.371,
7,3142,81.632,124.646,
8,3665,77.360,126.936,
9,4189,77.399,127.368,
10,4712,76.759,126.194,
11,5236,82.193,126.007,
12,5759,82.522,125.603,
13,6282,80.859,127.063,
14,6805,78.624,126.373,
15,7329,81.162,125.416,
16,7853,76.591,126.578,
17,8376,78.893,125.241,
18,8899,83.591,127.926,
19,9423,79.548,125.029,
20,9949,80.227,123.969,
21,10472,82.286,123.183,
22,10996,77.563,125.029,
23,11520,82.609,128.129,
24,12042,82.672,120.661,
muestra,t,M 5A,DUT 30A,
2,527,84.545,125.287,
3,1051,81.488,123.419,
4,1574,77.282,127.419,
5,2096,79.893,125.448,
6,2621,81.086,127.332,
7,3145,78.931,128.078,
8,3667,80.399,126.271,
9,4190,82.057,125.190,
10,4714,80.747,123.103,
11,5238,80.866,122.683,
12,5761,83.429,125.654,
13,6283,84.068,125.448,
14,6809,76.240,126.518,
15,7331,80.823,126.578,
16,7857,85.109,125.345,
17,8381,86.325,122.499,
18,8905,77.429,124.620,
19,9428,86.477,126.014,
20,9951,79.695,121.968,
21,10476,81.137,124.018,
22,10998,83.872,123.025,
23,11521,81.015,119.203,
24,12044,78.295,122.471,
muestra,t,M 5A,DUT 30A,
2,525,84.411,124.983,
3,1050,83.245,126.620,
4,1573,81.447,126.910,
5,2096,81.567,125.241,
6,2619,76.790,126.160,
7,3143,80.817,120.929,
8,3666,86.753,123.760,
9,4189,81.487,125.603,
10,4713,79.961,120.934,
11,5236,83.279,128.280,
12,5761,86.274,126.091,
13,6284,80.652,122.313,
14,6809,79.439,124.252,
15,7332,85.586,126.757,
16,7855,79.312,125.680,
17,8379,76.399,125.442,
18,8902,82.346,124.490,
19,9426,81.694,127.180,
20,9949,78.405,124.749,
21,10473,74.693,126.365,
22,10997,77.975,126.297,
23,11520,83.747,121.116,
24,12043,84.724,121.276,
muestra,t,M 5A,DUT 30A,
2,525,80.051,123.707,
3,1049,86.691,123.757,
4,1573,86.547,124.749,
